Splitting data in Training and Test Data...
Splitting Done!
Training Deep Belief Network...
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 18.131321
>> Epoch 79 finished 	RBM Reconstruction error 1.627364
>> Epoch 80 finished 	RBM Reconstruction error 1.598906
>> Epoch 81 finished 	RBM Reconstruction error 1.570771
>> Epoch 82 finished 	RBM Reconstruction error 1.544735
>> Epoch 83 finished 	RBM Reconstruction error 1.521217
>> Epoch 84 finished 	RBM Reconstruction error 1.498981
>> Epoch 85 finished 	RBM Reconstruction error 1.475772
>> Epoch 86 finished 	RBM Reconstruction error 1.454067
>> Epoch 87 finished 	RBM Reconstruction error 1.429864
>> Epoch 88 finished 	RBM Reconstruction error 1.407548
>> Epoch 89 finished 	RBM Reconstruction error 1.388906
>> Epoch 90 finished 	RBM Reconstruction error 1.367367
>> Epoch 91 finished 	RBM Reconstruction error 1.346982
>> Epoch 92 finished 	RBM Reconstruction error 1.328278
>> Epoch 93 finished 	RBM Reconstruction error 1.309393
>> Epoch 94 finished 	RBM Reconstruction error 1.290044
>> Epoch 95 finished 	RBM Reconstruction error 1.273875
>> Epoch 96 finished 	RBM Reconstruction error 1.257234
>> Epoch 97 finished 	RBM Reconstruction error 1.241011
>> Epoch 98 finished 	RBM Reconstruction error 1.223690
>> Epoch 99 finished 	RBM Reconstruction error 1.206435
>> Epoch 100 finished 	RBM Reconstruction error 1.189145
>> Epoch 101 finished 	RBM Reconstruction error 1.172815
>> Epoch 102 finished 	RBM Reconstruction error 1.153452
>> Epoch 103 finished 	RBM Reconstruction error 1.137430
>> Epoch 104 finished 	RBM Reconstruction error 1.123382
>> Epoch 105 finished 	RBM Reconstruction error 1.107162
>> Epoch 106 finished 	RBM Reconstruction error 1.089828
>> Epoch 107 finished 	RBM Reconstruction error 1.072790
>> Epoch 108 finished 	RBM Reconstruction error 1.056729
>> Epoch 109 finished 	RBM Reconstruction error 1.039983
>> Epoch 110 finished 	RBM Reconstruction error 1.022595
>> Epoch 111 finished 	RBM Reconstruction error 1.008082
>> Epoch 112 finished 	RBM Reconstruction error 0.993363
>> Epoch 113 finished 	RBM Reconstruction error 0.978015
>> Epoch 114 finished 	RBM Reconstruction error 0.961241
>> Epoch 115 finished 	RBM Reconstruction error 0.948626
>> Epoch 116 finished 	RBM Reconstruction error 0.932318
>> Epoch 117 finished 	RBM Reconstruction error 0.919440
>> Epoch 118 finished 	RBM Reconstruction error 0.905527
>> Epoch 119 finished 	RBM Reconstruction error 0.890049
>> Epoch 120 finished 	RBM Reconstruction error 0.875968
>> Epoch 121 finished 	RBM Reconstruction error 0.861736
>> Epoch 122 finished 	RBM Reconstruction error 0.851979
>> Epoch 123 finished 	RBM Reconstruction error 0.835684
>> Epoch 124 finished 	RBM Reconstruction error 0.823835
>> Epoch 125 finished 	RBM Reconstruction error 0.810198
>> Epoch 126 finished 	RBM Reconstruction error 0.797270
>> Epoch 127 finished 	RBM Reconstruction error 0.787674
>> Epoch 128 finished 	RBM Reconstruction error 0.774968
>> Epoch 129 finished 	RBM Reconstruction error 0.762234
>> Epoch 130 finished 	RBM Reconstruction error 0.746021
>> Epoch 131 finished 	RBM Reconstruction error 0.734512
>> Epoch 132 finished 	RBM Reconstruction error 0.721815
>> Epoch 133 finished 	RBM Reconstruction error 0.712359
>> Epoch 134 finished 	RBM Reconstruction error 0.699147
>> Epoch 135 finished 	RBM Reconstruction error 0.685973
>> Epoch 136 finished 	RBM Reconstruction error 0.674880
>> Epoch 137 finished 	RBM Reconstruction error 0.665558
>> Epoch 138 finished 	RBM Reconstruction error 0.654681
>> Epoch 139 finished 	RBM Reconstruction error 0.642734
>> Epoch 140 finished 	RBM Reconstruction error 0.631851
>> Epoch 141 finished 	RBM Reconstruction error 0.622397
>> Epoch 142 finished 	RBM Reconstruction error 0.612549
>> Epoch 143 finished 	RBM Reconstruction error 0.603706
>> Epoch 144 finished 	RBM Reconstruction error 0.594515
>> Epoch 145 finished 	RBM Reconstruction error 0.584654
>> Epoch 146 finished 	RBM Reconstruction error 0.577607
>> Epoch 147 finished 	RBM Reconstruction error 0.568808
>> Epoch 148 finished 	RBM Reconstruction error 0.559811
>> Epoch 149 finished 	RBM Reconstruction error 0.551563
>> Epoch 150 finished 	RBM Reconstruction error 0.543587
>> Epoch 151 finished 	RBM Reconstruction error 0.535712
>> Epoch 152 finished 	RBM Reconstruction error 0.527128
>> Epoch 153 finished 	RBM Reconstruction error 0.519975
>> Epoch 154 finished 	RBM Reconstruction error 0.512434
>> Epoch 155 finished 	RBM Reconstruction error 0.506299
>> Epoch 156 finished 	RBM Reconstruction error 0.499448
>> Epoch 157 finished 	RBM Reconstruction error 0.492615
>> Epoch 158 finished 	RBM Reconstruction error 0.485530
>> Epoch 159 finished 	RBM Reconstruction error 0.478187
>> Epoch 160 finished 	RBM Reconstruction error 0.472107
>> Epoch 161 finished 	RBM Reconstruction error 0.464863
>> Epoch 162 finished 	RBM Reconstruction error 0.458212
>> Epoch 163 finished 	RBM Reconstruction error 0.451625
>> Epoch 164 finished 	RBM Reconstruction error 0.445257
>> Epoch 165 finished 	RBM Reconstruction error 0.438698
>> Epoch 166 finished 	RBM Reconstruction error 0.434586
>> Epoch 167 finished 	RBM Reconstruction error 0.430809
>> Epoch 168 finished 	RBM Reconstruction error 0.422426
>> Epoch 169 finished 	RBM Reconstruction error 0.417567
>> Epoch 170 finished 	RBM Reconstruction error 0.410233
>> Epoch 171 finished 	RBM Reconstruction error 0.405701
>> Epoch 172 finished 	RBM Reconstruction error 0.400219
>> Epoch 173 finished 	RBM Reconstruction error 0.394539
>> Epoch 174 finished 	RBM Reconstruction error 0.392321
>> Epoch 175 finished 	RBM Reconstruction error 0.386128
>> Epoch 176 finished 	RBM Reconstruction error 0.381041
>> Epoch 177 finished 	RBM Reconstruction error 0.376710
>> Epoch 178 finished 	RBM Reconstruction error 0.371612
>> Epoch 179 finished 	RBM Reconstruction error 0.367137
>> Epoch 180 finished 	RBM Reconstruction error 0.361282
>> Epoch 181 finished 	RBM Reconstruction error 0.357468
>> Epoch 182 finished 	RBM Reconstruction error 0.353954
>> Epoch 183 finished 	RBM Reconstruction error 0.349334
>> Epoch 184 finished 	RBM Reconstruction error 0.345714
>> Epoch 185 finished 	RBM Reconstruction error 0.342928
>> Epoch 186 finished 	RBM Reconstruction error 0.337779
>> Epoch 187 finished 	RBM Reconstruction error 0.333530
>> Epoch 188 finished 	RBM Reconstruction error 0.330771
>> Epoch 189 finished 	RBM Reconstruction error 0.327648
>> Epoch 190 finished 	RBM Reconstruction error 0.323782
>> Epoch 191 finished 	RBM Reconstruction error 0.320474
>> Epoch 192 finished 	RBM Reconstruction error 0.317598
>> Epoch 193 finished 	RBM Reconstruction error 0.315946
>> Epoch 194 finished 	RBM Reconstruction error 0.312014
>> Epoch 195 finished 	RBM Reconstruction error 0.308371
>> Epoch 196 finished 	RBM Reconstruction error 0.304866
>> Epoch 197 finished 	RBM Reconstruction error 0.302661
>> Epoch 198 finished 	RBM Reconstruction error 0.297578
>> Epoch 199 finished 	RBM Reconstruction error 0.295781
>> Epoch 200 finished 	RBM Reconstruction error 0.292200
>> Epoch 1 finished 	RBM Reconstruction error 12.371712
>> Epoch 2 finished 	RBM Reconstruction error 12.005514
>> Epoch 3 finished 	RBM Reconstruction error 11.656703
>> Epoch 4 finished 	RBM Reconstruction error 11.312569
>> Epoch 5 finished 	RBM Reconstruction error 10.974455
>> Epoch 6 finished 	RBM Reconstruction error 10.605404
>> Epoch 7 finished 	RBM Reconstruction error 10.221901
>> Epoch 8 finished 	RBM Reconstruction error 9.792123
>> Epoch 9 finished 	RBM Reconstruction error 9.331347
>> Epoch 10 finished 	RBM Reconstruction error 8.844324
>> Epoch 11 finished 	RBM Reconstruction error 8.400401
>> Epoch 12 finished 	RBM Reconstruction error 7.968390
>> Epoch 13 finished 	RBM Reconstruction error 7.642240
>> Epoch 14 finished 	RBM Reconstruction error 7.409644
>> Epoch 15 finished 	RBM Reconstruction error 7.266148
>> Epoch 16 finished 	RBM Reconstruction error 7.170691
>> Epoch 17 finished 	RBM Reconstruction error 7.104798
>> Epoch 18 finished 	RBM Reconstruction error 7.050053
>> Epoch 19 finished 	RBM Reconstruction error 6.994533
>> Epoch 20 finished 	RBM Reconstruction error 6.938572
>> Epoch 21 finished 	RBM Reconstruction error 6.871670
>> Epoch 22 finished 	RBM Reconstruction error 6.801362
>> Epoch 23 finished 	RBM Reconstruction error 6.727301
>> Epoch 24 finished 	RBM Reconstruction error 6.649812
>> Epoch 25 finished 	RBM Reconstruction error 6.560216
>> Epoch 26 finished 	RBM Reconstruction error 6.464516
>> Epoch 27 finished 	RBM Reconstruction error 6.353609
>> Epoch 28 finished 	RBM Reconstruction error 6.231375
>> Epoch 29 finished 	RBM Reconstruction error 6.105376
>> Epoch 30 finished 	RBM Reconstruction error 5.961281
>> Epoch 31 finished 	RBM Reconstruction error 5.803988
>> Epoch 32 finished 	RBM Reconstruction error 5.638546
>> Epoch 33 finished 	RBM Reconstruction error 5.477906
>> Epoch 34 finished 	RBM Reconstruction error 5.305243
>> Epoch 35 finished 	RBM Reconstruction error 5.128300
>> Epoch 36 finished 	RBM Reconstruction error 4.944929
>> Epoch 37 finished 	RBM Reconstruction error 4.751159
>> Epoch 38 finished 	RBM Reconstruction error 4.568573
>> Epoch 39 finished 	RBM Reconstruction error 4.392461
>> Epoch 40 finished 	RBM Reconstruction error 4.230750
>> Epoch 41 finished 	RBM Reconstruction error 4.060307
>> Epoch 42 finished 	RBM Reconstruction error 3.903949
>> Epoch 43 finished 	RBM Reconstruction error 3.759212
>> Epoch 44 finished 	RBM Reconstruction error 3.616986
>> Epoch 45 finished 	RBM Reconstruction error 3.479361
>> Epoch 46 finished 	RBM Reconstruction error 3.350743
>> Epoch 47 finished 	RBM Reconstruction error 3.231960
>> Epoch 48 finished 	RBM Reconstruction error 3.113306
>> Epoch 49 finished 	RBM Reconstruction error 2.999626
>> Epoch 50 finished 	RBM Reconstruction error 2.897459
>> Epoch 51 finished 	RBM Reconstruction error 2.799304
>> Epoch 52 finished 	RBM Reconstruction error 2.699569
>> Epoch 53 finished 	RBM Reconstruction error 2.601062
>> Epoch 54 finished 	RBM Reconstruction error 2.508220
>> Epoch 55 finished 	RBM Reconstruction error 2.424369
>> Epoch 56 finished 	RBM Reconstruction error 2.336639
>> Epoch 57 finished 	RBM Reconstruction error 2.252210
>> Epoch 58 finished 	RBM Reconstruction error 2.175123
>> Epoch 59 finished 	RBM Reconstruction error 2.107507
>> Epoch 60 finished 	RBM Reconstruction error 2.038013
>> Epoch 61 finished 	RBM Reconstruction error 1.970233
>> Epoch 62 finished 	RBM Reconstruction error 1.909443
>> Epoch 63 finished 	RBM Reconstruction error 1.847755
>> Epoch 64 finished 	RBM Reconstruction error 1.793391
>> Epoch 65 finished 	RBM Reconstruction error 1.735538
>> Epoch 66 finished 	RBM Reconstruction error 1.686436
>> Epoch 67 finished 	RBM Reconstruction error 1.637264
>> Epoch 68 finished 	RBM Reconstruction error 1.590112
>> Epoch 69 finished 	RBM Reconstruction error 1.545961
>> Epoch 70 finished 	RBM Reconstruction error 1.507945
>> Epoch 71 finished 	RBM Reconstruction error 1.470170
>> Epoch 72 finished 	RBM Reconstruction error 1.431798
>> Epoch 73 finished 	RBM Reconstruction error 1.395016
>> Epoch 74 finished 	RBM Reconstruction error 1.361378
>> Epoch 75 finished 	RBM Reconstruction error 1.329365
>> Epoch 76 finished 	RBM Reconstruction error 1.296325
>> Epoch 77 finished 	RBM Reconstruction error 1.267364
>> Epoch 78 finished 	RBM Reconstruction error 1.237513
>> Epoch 79 finished 	RBM Reconstruction error 1.211802
>> Epoch 80 finished 	RBM Reconstruction error 1.188230
>> Epoch 81 finished 	RBM Reconstruction error 1.162434
>> Epoch 82 finished 	RBM Reconstruction error 1.136170
>> Epoch 83 finished 	RBM Reconstruction error 1.112602
>> Epoch 84 finished 	RBM Reconstruction error 1.094187
>> Epoch 85 finished 	RBM Reconstruction error 1.072203
>> Epoch 86 finished 	RBM Reconstruction error 1.052151
>> Epoch 87 finished 	RBM Reconstruction error 1.033256
>> Epoch 88 finished 	RBM Reconstruction error 1.012232
>> Epoch 89 finished 	RBM Reconstruction error 0.995409
>> Epoch 90 finished 	RBM Reconstruction error 0.977005
>> Epoch 91 finished 	RBM Reconstruction error 0.963731
>> Epoch 92 finished 	RBM Reconstruction error 0.947740
>> Epoch 93 finished 	RBM Reconstruction error 0.932781
>> Epoch 94 finished 	RBM Reconstruction error 0.915084
>> Epoch 95 finished 	RBM Reconstruction error 0.902751
>> Epoch 96 finished 	RBM Reconstruction error 0.888016
>> Epoch 97 finished 	RBM Reconstruction error 0.874810
>> Epoch 98 finished 	RBM Reconstruction error 0.860216
>> Epoch 99 finished 	RBM Reconstruction error 0.848071
>> Epoch 100 finished 	RBM Reconstruction error 0.834195
>> Epoch 101 finished 	RBM Reconstruction error 0.821357
>> Epoch 102 finished 	RBM Reconstruction error 0.808414
>> Epoch 103 finished 	RBM Reconstruction error 0.797185
>> Epoch 104 finished 	RBM Reconstruction error 0.786086
>> Epoch 105 finished 	RBM Reconstruction error 0.774588
>> Epoch 106 finished 	RBM Reconstruction error 0.764237
>> Epoch 107 finished 	RBM Reconstruction error 0.752322
>> Epoch 108 finished 	RBM Reconstruction error 0.740582
>> Epoch 109 finished 	RBM Reconstruction error 0.728228
>> Epoch 110 finished 	RBM Reconstruction error 0.718630
>> Epoch 111 finished 	RBM Reconstruction error 0.705866
>> Epoch 112 finished 	RBM Reconstruction error 0.696058
>> Epoch 113 finished 	RBM Reconstruction error 0.686830
>> Epoch 114 finished 	RBM Reconstruction error 0.677441
>> Epoch 115 finished 	RBM Reconstruction error 0.665762
>> Epoch 116 finished 	RBM Reconstruction error 0.657861
>> Epoch 117 finished 	RBM Reconstruction error 0.646123
>> Epoch 118 finished 	RBM Reconstruction error 0.634835
>> Epoch 119 finished 	RBM Reconstruction error 0.625559
>> Epoch 120 finished 	RBM Reconstruction error 0.614300
>> Epoch 121 finished 	RBM Reconstruction error 0.605626
>> Epoch 122 finished 	RBM Reconstruction error 0.596665
>> Epoch 123 finished 	RBM Reconstruction error 0.588442
>> Epoch 124 finished 	RBM Reconstruction error 0.580975
>> Epoch 125 finished 	RBM Reconstruction error 0.572783
>> Epoch 126 finished 	RBM Reconstruction error 0.565346
>> Epoch 127 finished 	RBM Reconstruction error 0.559049
>> Epoch 128 finished 	RBM Reconstruction error 0.550113
>> Epoch 129 finished 	RBM Reconstruction error 0.540649
>> Epoch 130 finished 	RBM Reconstruction error 0.532565
>> Epoch 131 finished 	RBM Reconstruction error 0.525102
>> Epoch 132 finished 	RBM Reconstruction error 0.522380
>> Epoch 133 finished 	RBM Reconstruction error 0.514995
>> Epoch 134 finished 	RBM Reconstruction error 0.502785
>> Epoch 135 finished 	RBM Reconstruction error 0.495255
>> Epoch 136 finished 	RBM Reconstruction error 0.487540
>> Epoch 137 finished 	RBM Reconstruction error 0.480399
>> Epoch 138 finished 	RBM Reconstruction error 0.473261
>> Epoch 139 finished 	RBM Reconstruction error 0.465105
>> Epoch 140 finished 	RBM Reconstruction error 0.458867
>> Epoch 141 finished 	RBM Reconstruction error 0.450845
>> Epoch 142 finished 	RBM Reconstruction error 0.444439
>> Epoch 143 finished 	RBM Reconstruction error 0.437380
>> Epoch 144 finished 	RBM Reconstruction error 0.434019
>> Epoch 145 finished 	RBM Reconstruction error 0.427931
>> Epoch 146 finished 	RBM Reconstruction error 0.421544
>> Epoch 147 finished 	RBM Reconstruction error 0.415443
>> Epoch 148 finished 	RBM Reconstruction error 0.409969
>> Epoch 149 finished 	RBM Reconstruction error 0.403134
>> Epoch 150 finished 	RBM Reconstruction error 0.394908
>> Epoch 151 finished 	RBM Reconstruction error 0.389012
>> Epoch 152 finished 	RBM Reconstruction error 0.383416
>> Epoch 153 finished 	RBM Reconstruction error 0.377998
>> Epoch 154 finished 	RBM Reconstruction error 0.371116
>> Epoch 155 finished 	RBM Reconstruction error 0.366501
>> Epoch 156 finished 	RBM Reconstruction error 0.359521
>> Epoch 157 finished 	RBM Reconstruction error 0.354848
>> Epoch 158 finished 	RBM Reconstruction error 0.350144
>> Epoch 159 finished 	RBM Reconstruction error 0.346932
>> Epoch 160 finished 	RBM Reconstruction error 0.341366
>> Epoch 161 finished 	RBM Reconstruction error 0.334930
>> Epoch 162 finished 	RBM Reconstruction error 0.330917
>> Epoch 163 finished 	RBM Reconstruction error 0.328420
>> Epoch 164 finished 	RBM Reconstruction error 0.324535
>> Epoch 165 finished 	RBM Reconstruction error 0.321645
>> Epoch 166 finished 	RBM Reconstruction error 0.315186
>> Epoch 167 finished 	RBM Reconstruction error 0.312227
>> Epoch 168 finished 	RBM Reconstruction error 0.309487
>> Epoch 169 finished 	RBM Reconstruction error 0.303963
>> Epoch 170 finished 	RBM Reconstruction error 0.298685
>> Epoch 171 finished 	RBM Reconstruction error 0.296882
>> Epoch 172 finished 	RBM Reconstruction error 0.293587
>> Epoch 173 finished 	RBM Reconstruction error 0.290995
>> Epoch 174 finished 	RBM Reconstruction error 0.286892
>> Epoch 175 finished 	RBM Reconstruction error 0.283666
>> Epoch 176 finished 	RBM Reconstruction error 0.279278
>> Epoch 177 finished 	RBM Reconstruction error 0.277445
>> Epoch 178 finished 	RBM Reconstruction error 0.271871
>> Epoch 179 finished 	RBM Reconstruction error 0.267768
>> Epoch 180 finished 	RBM Reconstruction error 0.264592
>> Epoch 181 finished 	RBM Reconstruction error 0.264487
>> Epoch 182 finished 	RBM Reconstruction error 0.260663
>> Epoch 183 finished 	RBM Reconstruction error 0.257132
>> Epoch 184 finished 	RBM Reconstruction error 0.252137
>> Epoch 185 finished 	RBM Reconstruction error 0.250847
>> Epoch 186 finished 	RBM Reconstruction error 0.247792
>> Epoch 187 finished 	RBM Reconstruction error 0.246708
>> Epoch 188 finished 	RBM Reconstruction error 0.243535
>> Epoch 189 finished 	RBM Reconstruction error 0.241616
>> Epoch 190 finished 	RBM Reconstruction error 0.238897
>> Epoch 191 finished 	RBM Reconstruction error 0.236658
>> Epoch 192 finished 	RBM Reconstruction error 0.231852
>> Epoch 193 finished 	RBM Reconstruction error 0.228858
>> Epoch 194 finished 	RBM Reconstruction error 0.227108
>> Epoch 195 finished 	RBM Reconstruction error 0.224688
>> Epoch 196 finished 	RBM Reconstruction error 0.224890
>> Epoch 197 finished 	RBM Reconstruction error 0.224604
>> Epoch 198 finished 	RBM Reconstruction error 0.221751
>> Epoch 199 finished 	RBM Reconstruction error 0.220721
>> Epoch 200 finished 	RBM Reconstruction error 0.215703
>> Epoch 1 finished 	RBM Reconstruction error 12.206295
>> Epoch 2 finished 	RBM Reconstruction error 11.830103
>> Epoch 3 finished 	RBM Reconstruction error 11.457737
>> Epoch 4 finished 	RBM Reconstruction error 11.095617
>> Epoch 5 finished 	RBM Reconstruction error 10.714989
>> Epoch 6 finished 	RBM Reconstruction error 10.315848
>> Epoch 7 finished 	RBM Reconstruction error 9.865970
>> Epoch 8 finished 	RBM Reconstruction error 9.366517
>> Epoch 9 finished 	RBM Reconstruction error 8.828742
>> Epoch 10 finished 	RBM Reconstruction error 8.280656
>> Epoch 11 finished 	RBM Reconstruction error 7.777781
>> Epoch 12 finished 	RBM Reconstruction error 7.394711
>> Epoch 13 finished 	RBM Reconstruction error 7.160160
>> Epoch 14 finished 	RBM Reconstruction error 7.015157
>> Epoch 15 finished 	RBM Reconstruction error 6.941922
>> Epoch 16 finished 	RBM Reconstruction error 6.876935
>> Epoch 17 finished 	RBM Reconstruction error 6.832312
>> Epoch 18 finished 	RBM Reconstruction error 6.776685
>> Epoch 19 finished 	RBM Reconstruction error 6.714660
>> Epoch 20 finished 	RBM Reconstruction error 6.653283
>> Epoch 21 finished 	RBM Reconstruction error 6.586638
>> Epoch 22 finished 	RBM Reconstruction error 6.516137
>> Epoch 23 finished 	RBM Reconstruction error 6.434419
>> Epoch 24 finished 	RBM Reconstruction error 6.341373
>> Epoch 25 finished 	RBM Reconstruction error 6.254876
>> Epoch 26 finished 	RBM Reconstruction error 6.152468
>> Epoch 27 finished 	RBM Reconstruction error 6.034104
>> Epoch 28 finished 	RBM Reconstruction error 5.914235
>> Epoch 29 finished 	RBM Reconstruction error 5.776358
>> Epoch 30 finished 	RBM Reconstruction error 5.631748
>> Epoch 31 finished 	RBM Reconstruction error 5.472980
>> Epoch 32 finished 	RBM Reconstruction error 5.317465
>> Epoch 33 finished 	RBM Reconstruction error 5.142518
>> Epoch 34 finished 	RBM Reconstruction error 4.953563
>> Epoch 35 finished 	RBM Reconstruction error 4.750427
>> Epoch 36 finished 	RBM Reconstruction error 4.550058
>> Epoch 37 finished 	RBM Reconstruction error 4.351504
>> Epoch 38 finished 	RBM Reconstruction error 4.154891
>> Epoch 39 finished 	RBM Reconstruction error 3.959838
>> Epoch 40 finished 	RBM Reconstruction error 3.786197
>> Epoch 41 finished 	RBM Reconstruction error 3.612619
>> Epoch 42 finished 	RBM Reconstruction error 3.463878
>> Epoch 43 finished 	RBM Reconstruction error 3.309003
>> Epoch 44 finished 	RBM Reconstruction error 3.160264
>> Epoch 45 finished 	RBM Reconstruction error 3.023884
>> Epoch 46 finished 	RBM Reconstruction error 2.898177
>> Epoch 47 finished 	RBM Reconstruction error 2.781283
>> Epoch 48 finished 	RBM Reconstruction error 2.667937
>> Epoch 49 finished 	RBM Reconstruction error 2.562869
>> Epoch 50 finished 	RBM Reconstruction error 2.456062
>> Epoch 51 finished 	RBM Reconstruction error 2.358187
>> Epoch 52 finished 	RBM Reconstruction error 2.265425
>> Epoch 53 finished 	RBM Reconstruction error 2.172034
>> Epoch 54 finished 	RBM Reconstruction error 2.083846
>> Epoch 55 finished 	RBM Reconstruction error 2.001067
>> Epoch 56 finished 	RBM Reconstruction error 1.923427
>> Epoch 57 finished 	RBM Reconstruction error 1.849587
>> Epoch 58 finished 	RBM Reconstruction error 1.777516
>> Epoch 59 finished 	RBM Reconstruction error 1.709728
>> Epoch 60 finished 	RBM Reconstruction error 1.647595
>> Epoch 61 finished 	RBM Reconstruction error 1.586321
>> Epoch 62 finished 	RBM Reconstruction error 1.524782
>> Epoch 63 finished 	RBM Reconstruction error 1.469115
>> Epoch 64 finished 	RBM Reconstruction error 1.420246
>> Epoch 65 finished 	RBM Reconstruction error 1.368389
>> Epoch 66 finished 	RBM Reconstruction error 1.323993
>> Epoch 67 finished 	RBM Reconstruction error 1.276806
>> Epoch 68 finished 	RBM Reconstruction error 1.232652
>> Epoch 69 finished 	RBM Reconstruction error 1.189359
>> Epoch 70 finished 	RBM Reconstruction error 1.148868
>> Epoch 71 finished 	RBM Reconstruction error 1.113352
>> Epoch 72 finished 	RBM Reconstruction error 1.079566
>> Epoch 73 finished 	RBM Reconstruction error 1.043067
>> Epoch 74 finished 	RBM Reconstruction error 1.013607
>> Epoch 75 finished 	RBM Reconstruction error 0.982966
>> Epoch 76 finished 	RBM Reconstruction error 0.951977
>> Epoch 77 finished 	RBM Reconstruction error 0.922346
>> Epoch 78 finished 	RBM Reconstruction error 0.895064
>> Epoch 79 finished 	RBM Reconstruction error 0.868101
>> Epoch 80 finished 	RBM Reconstruction error 0.842003
>> Epoch 81 finished 	RBM Reconstruction error 0.819948
>> Epoch 82 finished 	RBM Reconstruction error 0.794404
>> Epoch 83 finished 	RBM Reconstruction error 0.771287
>> Epoch 84 finished 	RBM Reconstruction error 0.750962
>> Epoch 85 finished 	RBM Reconstruction error 0.731621
>> Epoch 86 finished 	RBM Reconstruction error 0.713171
>> Epoch 87 finished 	RBM Reconstruction error 0.695835
>> Epoch 88 finished 	RBM Reconstruction error 0.676857
>> Epoch 89 finished 	RBM Reconstruction error 0.659306
>> Epoch 90 finished 	RBM Reconstruction error 0.643040
>> Epoch 91 finished 	RBM Reconstruction error 0.627458
>> Epoch 92 finished 	RBM Reconstruction error 0.613848
>> Epoch 93 finished 	RBM Reconstruction error 0.598188
>> Epoch 94 finished 	RBM Reconstruction error 0.583294
>> Epoch 95 finished 	RBM Reconstruction error 0.573026
>> Epoch 96 finished 	RBM Reconstruction error 0.562024
>> Epoch 97 finished 	RBM Reconstruction error 0.549727
>> Epoch 98 finished 	RBM Reconstruction error 0.543517
>> Epoch 99 finished 	RBM Reconstruction error 0.529736
>> Epoch 100 finished 	RBM Reconstruction error 0.518906
>> Epoch 101 finished 	RBM Reconstruction error 0.510106
>> Epoch 102 finished 	RBM Reconstruction error 0.502343
>> Epoch 103 finished 	RBM Reconstruction error 0.494115
>> Epoch 104 finished 	RBM Reconstruction error 0.484314
>> Epoch 105 finished 	RBM Reconstruction error 0.477501
>> Epoch 106 finished 	RBM Reconstruction error 0.468215
>> Epoch 107 finished 	RBM Reconstruction error 0.462533
>> Epoch 108 finished 	RBM Reconstruction error 0.454600
>> Epoch 109 finished 	RBM Reconstruction error 0.444974
>> Epoch 110 finished 	RBM Reconstruction error 0.438690
>> Epoch 111 finished 	RBM Reconstruction error 0.430814
>> Epoch 112 finished 	RBM Reconstruction error 0.427560
>> Epoch 113 finished 	RBM Reconstruction error 0.423034
>> Epoch 114 finished 	RBM Reconstruction error 0.418184
>> Epoch 115 finished 	RBM Reconstruction error 0.416569
>> Epoch 116 finished 	RBM Reconstruction error 0.406481
>> Epoch 117 finished 	RBM Reconstruction error 0.396904
>> Epoch 118 finished 	RBM Reconstruction error 0.395805
>> Epoch 119 finished 	RBM Reconstruction error 0.393247
>> Epoch 120 finished 	RBM Reconstruction error 0.389198
>> Epoch 121 finished 	RBM Reconstruction error 0.386121
>> Epoch 122 finished 	RBM Reconstruction error 0.381162
>> Epoch 123 finished 	RBM Reconstruction error 0.374847
>> Epoch 124 finished 	RBM Reconstruction error 0.372585
>> Epoch 125 finished 	RBM Reconstruction error 0.369310
>> Epoch 126 finished 	RBM Reconstruction error 0.366682
>> Epoch 127 finished 	RBM Reconstruction error 0.358144
>> Epoch 128 finished 	RBM Reconstruction error 0.352095
>> Epoch 129 finished 	RBM Reconstruction error 0.349262
>> Epoch 130 finished 	RBM Reconstruction error 0.347652
>> Epoch 131 finished 	RBM Reconstruction error 0.340127
>> Epoch 132 finished 	RBM Reconstruction error 0.335370
>> Epoch 133 finished 	RBM Reconstruction error 0.332856
>> Epoch 134 finished 	RBM Reconstruction error 0.330663
>> Epoch 135 finished 	RBM Reconstruction error 0.327881
>> Epoch 136 finished 	RBM Reconstruction error 0.323755
>> Epoch 137 finished 	RBM Reconstruction error 0.318993
>> Epoch 138 finished 	RBM Reconstruction error 0.317171
>> Epoch 139 finished 	RBM Reconstruction error 0.309789
>> Epoch 140 finished 	RBM Reconstruction error 0.304672
>> Epoch 141 finished 	RBM Reconstruction error 0.308086
>> Epoch 142 finished 	RBM Reconstruction error 0.308711
>> Epoch 143 finished 	RBM Reconstruction error 0.306955
>> Epoch 144 finished 	RBM Reconstruction error 0.300757
>> Epoch 145 finished 	RBM Reconstruction error 0.299792
>> Epoch 146 finished 	RBM Reconstruction error 0.297920
>> Epoch 147 finished 	RBM Reconstruction error 0.290897
>> Epoch 148 finished 	RBM Reconstruction error 0.284835
>> Epoch 149 finished 	RBM Reconstruction error 0.285370
>> Epoch 150 finished 	RBM Reconstruction error 0.282731
>> Epoch 151 finished 	RBM Reconstruction error 0.278383
>> Epoch 152 finished 	RBM Reconstruction error 0.270483
>> Epoch 153 finished 	RBM Reconstruction error 0.267548
>> Epoch 154 finished 	RBM Reconstruction error 0.264018
>> Epoch 155 finished 	RBM Reconstruction error 0.265053
>> Epoch 156 finished 	RBM Reconstruction error 0.262746
>> Epoch 157 finished 	RBM Reconstruction error 0.262565
>> Epoch 158 finished 	RBM Reconstruction error 0.256972
